iter	Passed	Remaining
1201	31428	7791
1202	31455	7765
1203	31482	7739
1204	31507	7713
1205	31533	7687
1206	31559	7661
1207	31585	7634
1208	31611	7608
1209	31637	7582
1210	31663	7556
1211	31690	7530
1212	31715	7504
1213	31741	7477
1214	31769	7452
1215	31795	7426
1216	31822	7400
1217	31848	7373
1218	31873	7347
1219	31900	7321
1220	31927	7295
1221	31953	7269
1222	31979	7243
1223	32007	7217
1224	32035	7191
1225	32062	7165
1226	32090	7139
1227	32116	7113
1228	32144	7087
1229	32170	7061
1230	32194	7035
1231	32219	7008
1232	32244	6982
1233	32269	6956
1234	32297	6930
1235	32322	6903
1236	32351	6878
1237	32377	6852
1238	32405	6826
1239	32429	6799
1240	32454	6773
1241	32479	6747
1242	32508	6721
1243	32535	6695
1244	32563	6669
1245	32592	6644
1246	32620	6618
1247	32646	6592
1248	32672	6565
1249	32697	6539
1250	32723	6513
1251	32749	6487
1252	32774	6460
1253	32800	6434
1254	32828	6408
1255	32857	6383
1256	32884	6357
1257	32911	6331
1258	32939	6305
1259	32966	6279
1260	32991	6252
1261	33018	6226
1262	33045	6201
1263	33073	6175
1264	33101	6149
1265	33126	6122
1266	33153	6096
1267	33178	6070
1268	33205	6044
1269	33231	6018
1270	33257	5992
1271	33284	5966
1272	33311	5939
1273	33338	5914
1274	33364	5887
1275	33391	5861
1276	33418	5835
1277	33446	5810
1278	33473	5784
1279	33499	5757
1280	33527	5731
1281	33554	5705
1282	33579	5679
1283	33607	5653
1284	33636	5627
1285	33664	5601
1286	33690	5575
1287	33717	5549
1288	33742	5523
1289	33767	5496
1290	33792	5470
1291	33819	5444
1292	33848	5418
1293	33874	5392
1294	33901	5366
1295	33927	5340
1296	33951	5313
1297	33980	5288
1298	34006	5261
1299	34031	5235
1300	34059	5209
1301	34087	5183
1302	34114	5157
1303	34142	5131
1304	34167	5105
1305	34191	5079
1306	34217	5052
1307	34244	5026
1308	34271	5000
1309	34296	4974
1310	34324	4948
1311	34351	4922
1312	34379	4896
1313	34406	4870
1314	34434	4844
1315	34460	4818
1316	34483	4791
1317	34508	4765
1318	34536	4739
1319	34562	4713
1320	34584	4686
1321	34612	4660
1322	34640	4634
1323	34667	4608
1324	34693	4582
1325	34719	4555
1326	34744	4529
1327	34770	4503
